Nutrient,Amount,Unit,DV,commodity
Thiamin [Vitamin B1],0.874,mg,73 %,soybeans_raw_mature_seeds
Riboflavin [Vitamin B2],0.87,mg,67 %,soybeans_raw_mature_seeds
Niacin [Vitamin B3],1.623,mg,10 %,soybeans_raw_mature_seeds
Vitamin C [Ascorbic acid],6.0,mg,7 %,soybeans_raw_mature_seeds
Calcium,277.0,mg,21 %,soybeans_raw_mature_seeds
Iron,15.7,mg,87 %,soybeans_raw_mature_seeds
Protein,36.49,g,73 %,soybeans_raw_mature_seeds
Calories,18.0,,,tomatoes_raw
"Vitamin A, RAE",42.0,mcg,5 %,tomatoes_raw
Thiamin [Vitamin B1],0.037,mg,3 %,tomatoes_raw
Riboflavin [Vitamin B2],0.019,mg,1 %,tomatoes_raw
Niacin [Vitamin B3],0.594,mg,4 %,tomatoes_raw
Vitamin C [Ascorbic acid],13.7,mg,15 %,tomatoes_raw
Calcium,10.0,mg,1 %,tomatoes_raw
Iron,0.27,mg,2 %,tomatoes_raw
Protein,0.88,g,2 %,tomatoes_raw
Calories,118.0,,,yam_raw
"Vitamin A, RAE",7.0,mcg,1 %,yam_raw
Thiamin [Vitamin B1],0.112,mg,9 %,yam_raw
Riboflavin [Vitamin B2],0.032,mg,2 %,yam_raw
Niacin [Vitamin B3],0.552,mg,3 %,yam_raw
Vitamin C [Ascorbic acid],17.1,mg,19 %,yam_raw
Calcium,17.0,mg,1 %,yam_raw
Iron,0.54,mg,3 %,yam_raw
Protein,1.53,g,3 %,yam_raw
